Iout_exp,Iin_fit,e_delta1,e_delta2,e_delta1_delta2,e_delta1plusdelta2,N_RC2,C_RC2,S_RC2
7834.047546,15895.25322,0.96767270248266+0.295836114379162i,0.524720970753676-0.818961697954855i,0.410081796580522+0.966410229613976i,0.75003660636686-0.637255466368733i,-0.679249339,-0.34582247,0.647323069
4362.116512,15627.22094,0.851450500878274-0.522837026975222i,0.27498907407198-0.928346396021556i,0.844942357478358+0.604001503335865i,-0.251234284844432-0.934215473819557i,-0.666981843,-0.331745795,0.667143125
5944.112706,16085.1057,0.171525713967483-0.972174598332285i,0.00523989144007779-0.96465222774382i,1.02703330344457+0.0729800739267891i,-0.936911615916821-0.170556751450144i,-0.654262764,-0.317691466,0.686303409
9589.079999,16657.65922,-0.605701634402417-0.765792264351087i,-0.263737671190598-0.924954593818962i,0.907166592824916-0.471939771133392i,-0.548576734328931+0.7622147776399i,-0.641041095,-0.303731563,0.70484995
11228.68849,16246.0522,-0.965345706118866-0.057065671789848i,-0.510951629284155-0.812184349536861i,0.522459442991192-0.872874656233954i,0.446897115840376+0.81319647237957i,-0.627295985,-0.289922054,0.722803534
9308.78352,15695.14508,-0.680239650790686+0.676485950131196i,-0.716876090877499-0.635045659373526i,-0.0137655975270202-1.0134195714257i,0.917247007976694-0.0529733658952138i,-0.613002055,-0.276318708,0.740186769
5120.334126,16573.35051,0.0505694738864683+0.952102062100332i,-0.865060131197489-0.407443569463037i,-0.543706959556122-0.852406342542599i,0.344182226960461-0.844229741700083i,-0.598106695,-0.262985545,0.757038298
3658.909677,16461.40101,0.740224339342795+0.59434824619534i,-0.943527348511579-0.147451884240495i,-0.910260728016834-0.436896504672387i,-0.610784139407307-0.669931298421967i,-0.582551063,-0.249986384,0.773395803
5319.028423,16536.00849,0.933988255526622-0.155583720897193i,-0.945831653654507+0.124101757478558i,-1.00319063212152+0.110139939205171i,-0.864087443020239+0.263065591993099i,-0.566338208,-0.237360239,0.789253541
6331.757053,17420.08905,0.505201249625273-0.799743905329202i,-0.871663816952738+0.385317124862169i,-0.792802085961742+0.624910324505926i,-0.132210627350168+0.891770518086327i,-0.549419593,-0.225163757,0.804636187
4469.03437,17387.57553,-0.261491525888303-0.909526743891336i,-0.726943687788931+0.615023980148521i,-0.340538773748425+0.951168659359434i,0.749470372234372+0.500351166320092i,-0.531739339,-0.213454161,0.819567323
1136.324205,18731.15118,-0.85506185317521-0.409074886910478i,-0.523380575567821+0.794546742637583i,0.217702849360385+0.9877942425916i,0.772551883750487-0.465284760432471i,-0.513245775,-0.202284831,0.834062121
1263.996217,19749.05145,-0.875276248376968+0.369838408187045i,-0.27753404482613+0.9092734062168i,0.711571687560965+0.720945969615245i,-0.0933652716097341-0.898508165098596i,-0.493909212,-0.191697665,0.848118916
6809.986952,18863.83097,-0.302984767054535+0.903632676465249i,-0.00945416792085237+0.949887843862927i,0.98810238255315+0.230188538015016i,-0.855485225826467-0.296344642162816i,-0.473591673,-0.181773434,0.861782656
14443.69972,20697.09223,0.47965803742722+0.827214480714165i,0.258980658609396+0.913155247110844i,0.959606429873947-0.334323883297473i,-0.63115308911002+0.652234804722139i,-0.452199885,-0.172574008,0.875061984
19432.56041,22399.22865,0.941221471560658+0.185801694084767i,0.505882726678673+0.802191452229375i,0.63234644277751-0.797429246409193i,0.327099153637082+0.849033686765833i,-0.429628954,-0.164163497,0.887957943
16109.29468,21747.19427,0.762084917325524-0.587650616439132i,0.711171837018267+0.626194034722021i,0.106248871404843-1.01355512833199i,0.90995664113321+0.0592924607629329i,-0.405758447,-0.156610602,0.900462771
13040.73316,20208.65693,0.0587618759551515-0.963109085981371i,0.858232576758749+0.399661549318378i,-0.455109491469243-0.913146132008642i,0.435349025682089-0.803086730176465i,-0.380373971,-0.150043306,0.912580215
11738.22713,19677.45629,-0.688937385019295-0.678413433881911i,0.935270889099117+0.141172425589924i,-0.875390754825883-0.52580120122096i,-0.548569810606718-0.731759297206274i,-0.353417553,-0.144481406,0.924240854
12754.99934,20032.44038,-0.965314362939947+0.0746643738639493i,0.936257469386438-0.128167399581501i,-1.02135419826383+0.0278711913989238i,-0.894213243969013+0.193626909403871i,-0.324728516,-0.140003647,0.935387818
12778.58313,18972.85251,-0.577000815022414+0.778152002270206i,0.861383590237575-0.386472283982853i,-0.845747690910818+0.573675177701109i,-0.196284852010817+0.893282188307748i,-0.29412756,-0.136692608,0.945940859
8953.807926,19501.72091,0.20944886114807+0.945548118216906i,0.716998497235624-0.612870408675921i,-0.403142147742657+0.938916330955555i,0.729672980325222+0.54959157069697i,-0.261412313,-0.134634948,0.955791313
3528.611515,18358.73778,0.850580566422339+0.46082302544454i,0.515042319574542-0.789193014350017i,0.166789237140808+1.00756471394274i,0.801763300447661-0.433928881224076i,-0.226400883,-0.133895888,0.964787298
1860.578011,20261.42333,0.903692003443605-0.340019928968657i,0.272030434429662-0.901421964081581i,0.683481416158849+0.757625830777326i,-0.0606697039104311-0.90710358966104i,-0.188856145,-0.134594007,0.972737277
5391.184546,22635.06651,0.334407073167442-0.903068512567622i,0.00768086225299036-0.940782061893056i,0.983076177656524+0.268475833994153i,-0.847022122618638-0.321540520656132i,-0.14854323,-0.136831653,0.979393694
10470.43568,20380.71977,-0.461340556958205-0.841714929326122i,-0.256697170905862-0.904396878068915i,0.970834191348606-0.304368210043054i,-0.642819538511237+0.633300800506818i,-0.105223831,-0.140708845,0.984443481
13373.99634,21864.57781,-0.934479170636105-0.20287240077934i,-0.499919604559962-0.795464448671818i,0.651398560996256-0.778968045577538i,0.305786675017257+0.844764848639085i,-0.058662058,-0.146324304,0.987495803
11778.53377,22590.10992,-0.763080527549202+0.569768586151278i,-0.702610629138841-0.622948711574577i,0.127133715290721-1.0051210501116i,0.891085096183551+0.0750345666851258i,-0.00866822,-0.153778483,0.988067326
7946.307873,20699.8471,-0.0709076364629504+0.945607470933586i,-0.848721024538426-0.400820627837153i,-0.434856970043956-0.912186884628155i,0.439199782053536-0.774135698176414i,0.044963903,-0.163146152,0.985576775
7115.845294,21065.73968,0.663479667472622+0.671830478017468i,-0.926766895357014-0.146916732335179i,-0.856290687910451-0.531238807027568i,-0.516187853042598-0.720106511034377i,0.102381179,-0.17448695,0.979322418
8548.045429,21536.16881,0.93859929010554-0.0580343705334502i,-0.93069850840868+0.118489923050437i,-1.00452137445572+0.0154153652425553i,-0.866676471195882+0.165227059751719i,0.16363459,-0.187833307,0.968474248
8631.789215,20832.65024,0.571614924057166-0.742355977969736i,-0.860339150760024+0.374292404349247i,-0.834390927843725+0.553732513892797i,-0.213924494447769+0.852629035935378i,0.228650402,-0.203173365,0.952071204
6389.834317,21110.47954,-0.182104451295442-0.916064803431117i,-0.721367298886741+0.600202013333208i,-0.401885414429273+0.913567531945703i,0.681188135509291+0.551519734551855i,0.297181233,-0.220433467,0.929027665
3380.121981,20094.24312,-0.807397396974225-0.464953675010434i,-0.524849452330311+0.77832488750654i,0.15445755252797+0.982548374928606i,0.785647098413089-0.384386806484845i,0.368748943,-0.239457598,0.898156042
1750.302347,20116.05969,-0.880161499500178+0.300898555331897i,-0.286363450451543+0.894545901138733i,0.65811186820923+0.741098950550016i,-0.0171214853792391-0.873511210258732i,0.442582851,-0.25998496,0.858212235
3069.676418,21020.42101,-0.352940677854498+0.859852612753099i,-0.0247809598130497+0.939618315910769i,0.950660676640391+0.267748479012318i,-0.799187055172239-0.352937498383829i,0.517560398,-0.281628172,0.807970796
4913.525473,21658.67066,0.414842406914733+0.831928460545387i,0.239198556777528+0.909879791451309i,0.941561757122142-0.286567383961273i,-0.657725189159325+0.576452809793343i,0.592161969,-0.303856253,0.746334764
5115.245304,19235.87349,0.900350085561731+0.235466767283783i,0.484652976194616+0.807542522555358i,0.635989287447005-0.746711400398848i,0.246207921354269+0.841190648836463i,0.664470312,-0.326024198,0.672448828
3890.582922,19173.44532,0.771072083874025-0.524328024256269i,0.692062660856104+0.64053570697707i,0.132295511427323-0.968616499737422i,0.869481019782598+0.131031354746313i,0.732168896,-0.347327815,0.585911338
1825.744959,19857.71149,0.111874349139337-0.92830369826513i,0.844834784667843+0.421910435302699i,-0.409718064845544-0.884214654291536i,0.486176359093133-0.737062299685599i,0.792648986,-0.366797346,0.486998246
712.3127913,19264.61354,-0.628883161431122-0.696259182950943i,0.930612370892168+0.168848534361827i,-0.819436147352157-0.522107703249629i,-0.467684107296348-0.754133409093898i,0.843230967,-0.383466355,0.376716195
641.1512635,20027.26437,-0.941775755856641+0.0181742411164953i,0.942267790308039-0.0986540320002302i,-0.968952354828956+0.0021814148550636i,-0.885611998272033+0.110034977572688i,0.881391152,-0.396416183,0.256912139
1144.47539,19266.49001,-0.605814453527824+0.726636365050449i,0.878501882058378-0.359333779819486i,-0.812780296696225+0.523009544771848i,-0.271104145994492+0.856041011724307i,0.905036836,-0.404903645,0.130235802
1789.251504,18060.05359,0.153891714755036+0.937832619031277i,0.743997373487877-0.592322111934652i,-0.401538976854258+0.876757793063549i,0.669994029125105+0.606591539837579i,0.912782097,-0.408446866,-0.0000232
2680.750998,18194.626,0.814239630050426+0.49859902335438i,0.549107340687863-0.778798047317792i,0.134418676877916+0.952990485797108i,0.835412903722609-0.360343850148344i,0.904194546,-0.406784706,-0.130224522
3108.043044,19150.4089,0.913276764490401-0.292870054769006i,0.309094089452002-0.903503319331174i,0.626140802923849+0.728751708978203i,0.0176793833213316-0.915672991091696i,0.879791146,-0.400066372,-0.256738071
3031.004463,18503.11859,0.374802906614537-0.887265072578104i,0.0429687029934587-0.955998854925166i,0.91907151794478+0.275443747515756i,-0.832119598624356-0.3964357789262i,0.840989333,-0.38876702,-0.376293961
2802.590045,18557.52828,-0.431034905653042-0.865533254299678i,-0.227985990659901-0.931558132866646i,0.921405130194764-0.263746521764808i,-0.708024622335094+0.598863528341099i,0.789933654,-0.373631249,-0.486214471
3385.955054,18223.66234,-0.940952111467285-0.236425002770697i,-0.481898790316813-0.831618263540625i,0.63278213345327-0.71879995699309i,0.256828334000382+0.896445883849157i,0.729151877,-0.355542182,-0.584745498
5127.776444,18283.37943,-0.793438195843597+0.56305216823269i,-0.69806962709104-0.663742392984569i,0.144403037729857-0.946205299036703i,0.927596699010243+0.133588949683592i,0.661327395,-0.335450625,-0.670909051
7142.775199,18542.84038,-0.087318569945425+0.971090775568173i,-0.858664665403983-0.441085011322923i,-0.389519158963723-0.874077849069953i,0.503310956382816-0.79532642346706i,0.589038895,-0.314277297,-0.744488388
7689.812716,18639.92276,0.683062713173562+0.697722902423788i,-0.950207219156442-0.181392097756225i,-0.800146774091065-0.52494250269295i,-0.522489700270891-0.78688351729548i,0.514583547,-0.292847971,-0.805880785
6712.294427,19016.53781,0.974806645025438-0.0671913386314125i,-0.964737151682389+0.0943925290789446i,-0.95719864680487-0.00894308782820616i,-0.934089825777288+0.156836445235908i,0.439877074,-0.271855876,-0.855922042
6401.733121,18657.54177,0.581086614410778-0.785543618643534i,-0.900535159999981+0.363808228998838i,-0.810269514805091+0.510579090638546i,-0.237501694582215+0.918813740385835i,0.366483651,-0.251789987,-0.895707283
8246.000866,19587.24024,-0.220999873992786-0.951059841612074i,-0.762341886644511+0.604712135017432i,-0.405195916952213+0.868520909215282i,0.743594888238438+0.591391448325618i,0.29543501,-0.233117443,-0.926484977
10260.43013,18870.60318,-0.86608058714263-0.447867037955262i,-0.561042674625172+0.797116682206214i,0.129918728226145+0.950388651952421i,0.842910456415863-0.43909476329547i,0.227447904,-0.216106479,-0.949507999
10051.69429,19365.33181,-0.900761438461459+0.368038304035408i,-0.312833661820259+0.924875098726813i,0.624899695744382+0.729037588116079i,-0.0586009635596149-0.948226594667863i,0.163004076,-0.200938575,-0.965946872
6847.458323,19472.00444,-0.303417364808314+0.921880208363054i,-0.0379299149218609+0.977069017529583i,0.921439816991115+0.273944803420697i,-0.889231994632262-0.331426544406033i,0.10236183,-0.187712031,-0.976875759
2462.678442,20112.88835,0.503017270400668+0.826514690921823i,0.241082663834961+0.948974662737232i,0.923761013186895-0.270256061627501i,-0.66307275656172+0.676609007915639i,0.045554567,-0.176497016,-0.983246452
1248.923573,19589.41689,0.951931993868983+0.153357841980721i,0.501116761819378+0.842517960585453i,0.629773050824228-0.729492155438963i,0.347822341974505+0.878869987263526i,-0.00744352,-0.167237687,-0.985888508
4294.138693,19367.42195,0.732077277633578-0.621939540021041i,0.720517530577679+0.666171682393568i,0.13250179016429-0.955872490455219i,0.941793021995474+0.0395708101386859i,-0.056769505,-0.159875069,-0.985503519
8252.867252,20049.66005,0.00288110314145534-0.956822691579234i,0.880895564481624+0.434295660778029i,-0.409047689385418-0.875462060672382i,0.418081894064938-0.841609614414928i,-0.102619898,-0.154337622,-0.98267444
9572.49291,19523.06901,-0.722295735080284-0.621695348421059i,0.96869982278435+0.165969934528839i,-0.82058994455703-0.512713212811091i,-0.596505014295836-0.722115549703069i,-0.145221052,-0.150541134,-0.977879447
8865.120827,19685.7473,-0.938285790250905+0.14374177562048i,0.976391913992784-0.116584120420846i,-0.968708793808175+0.0166326824605867i,-0.899376650136869+0.249737530978582i,-0.184801626,-0.14841708,-0.971504364
9314.459822,20237.75002,-0.4994732301507+0.80293913632355i,0.90311649805255-0.389862271181419i,-0.80433773409378+0.54226165399391i,-0.138046839177149+0.919873348846734i,-0.221610593,-0.147856825,-0.963860521
12779.03691,20360.49334,0.283369540615368+0.89862102404574i,0.754805768309675-0.631057195558671i,-0.379305153622469+0.89405563067176i,0.780970227124108+0.499461944866589i,-0.255895468,-0.148757635,-0.955190387
16759.90719,21113.86832,0.863709682175648+0.368917120866193i,0.543705183478545-0.819989243036319i,0.169746075859246+0.957304089729207i,0.772111501901715-0.50765049760142i,-0.287866963,-0.151030645,-0.945686182
16045.71082,22119.13248,0.84013462755324-0.413902658631438i,0.28735835345273-0.940821098952949i,0.665179481134105+0.71037089788701i,-0.147988650900855-0.909354770037104i,-0.3177351,-0.154588662,-0.935492786
9934.068498,21557.87963,0.232737393616704-0.904927934846406i,0.00713659388782823-0.983407433979305i,0.945906758683239+0.232341286823747i,-0.888251906082742-0.235333786216384i,-0.345694151,-0.159348228,-0.924718171
2857.456314,21532.71872,-0.533957463826115-0.764731980896993i,-0.273561211777181-0.944162143185488i,0.91997193201585-0.322137553491079i,-0.575960935204446+0.713343430794897i,-0.371922128,-0.165229785,-0.913440227
554.2533215,21334.38979,-0.926898988662761-0.0929266634691847i,-0.531283826117082-0.826367781687173i,0.594924035907727-0.772876896811676i,0.415654840370185+0.815329894425533i,-0.396580932,-0.172157581,-0.901712444
3602.686698,21745.07828,-0.673747701520936+0.642411511587069i,-0.74450810143938-0.639900451665649i,0.0758490093328317-0.972839461777568i,0.912690038528276-0.0471491163225513i,-0.419816928,-0.180059421,-0.889568633
7154.985605,21985.45261,0.0489350955878614+0.929552977028095i,-0.895454636938606-0.400394264439353i,-0.468527643133534-0.856321756643618i,0.328368522241391-0.851965855163064i,-0.441761767,-0.18886632,-0.877026826
6957.050084,22276.35358,0.737951571308645+0.56803621461217i,-0.971583430207624-0.127918007156337i,-0.860749583892605-0.46074825752748i,-0.644319458413341-0.646291868254736i,-0.46255686,-0.198520896,-0.864077893
4961.233482,22517.95496,0.912308224925944-0.191247706868615i,-0.966642611266272+0.154721522864123i,-0.972641113820957+0.0852254950463481i,-0.852285868371128+0.326021900648172i,-0.48231857,-0.208965759,-0.850706829
5839.319077,22252.13591,0.448282430682038-0.818747427099671i,-0.881182502568719+0.423903530180039i,-0.767384412652976+0.603555617651094i,-0.047948709452612+0.911494411667192i,-0.501103505,-0.220125739,-0.836922897
10922.81872,21833.41966,-0.331955076120096-0.874185377523017i,-0.722493660638585+0.657180027406272i,-0.311776651532756+0.924974123629037i,0.814332608472307+0.413439147461073i,-0.518994556,-0.231940015,-0.822708016
16227.89476,21974.14455,-0.88233897168251-0.31544097903651i,-0.503977056317345+0.835156711584709i,0.245457142626546+0.944420255902497i,0.708121248373818-0.577916298036718i,-0.536064753,-0.244348963,-0.808039705
15342.67454,21004.88128,-0.81413919737817+0.468227498230737i,-0.244002790435818+0.943109544180176i,0.722257774333273+0.655522544075178i,-0.242937586465564-0.882071263465623i,-0.552355143,-0.257286938,-0.792910605
9986.787733,20801.38917,-0.171184199768748+0.92576976465645i,0.035643418833077+0.972202413898023i,0.962821584758711+0.152766324188196i,-0.906137190042767-0.133428092771729i,-0.567874748,-0.27068091,-0.777335266
6204.045354,20759.44118,0.596351210303506+0.731522889650903i,0.311592870142895+0.920206122821944i,0.888631585842386-0.399405510673903i,-0.487333056809504+0.776703351835113i,-0.582744059,-0.284494594,-0.761230706
8948.17427,20478.06294,0.945939910611541+0.0182394996302179i,0.56085033324025+0.791661745805723i,0.524171394669404-0.82043729243502i,0.516091199971854+0.759094070507786i,-0.597004647,-0.298670822,-0.744567788
16112.20072,20831.94141,0.626569310140639-0.711862826502415i,0.76271014719234+0.59747841349217i,-0.0111208369076576-0.97278478468348i,0.903213442966284-0.1685833638167i,-0.610691973,-0.313152193,-0.727317688
21280.22406,20991.70929,-0.139474903408956-0.94009875076763i,0.900472713060249+0.354002754475308i,-0.542009890833347-0.806922743152281i,0.207204202574058-0.895907772635227i,-0.623840759,-0.327883346,-0.709447122
21709.12508,21506.3096,-0.809907104404367-0.500770975933713i,0.962820182450731+0.0816406905832606i,-0.894872863504724-0.377487644264523i,-0.738911617731474-0.54827377772639i,-0.636516234,-0.342826029,-0.69088161
19550.02361,22107.95815,-0.906365667686967+0.296957502803349i,0.944739583425176-0.196851487385131i,-0.954527839512742+0.17470728777821i,-0.797822997204453+0.458966937292413i,-0.648691938,-0.3578973,-0.671645958
21609.92149,21993.05364,-0.357066605759076+0.8857439382571i,0.847919841947438-0.458263645900308i,-0.701866382718601+0.668852408034647i,0.103140386559852+0.914670504717264i,-0.660383951,-0.373037176,-0.651717963
24662.22774,22589.89679,0.44845794725056+0.8441627496438i,0.680592901961651-0.680858610837134i,-0.219993642785033+0.943357992602491i,0.879972772769956+0.269194720524112i,-0.671604566,-0.38818506,-0.631078177
23336.07221,22303.9037,0.935297282023244+0.199789212843459i,0.456834813863011-0.84617063177634i,0.333088068700533+0.908706472573392i,0.596332124193516-0.700150424167123i,-0.682362662,-0.40327979,-0.609710266
16257.61689,21974.76868,0.754466780258614-0.587969854396489i,0.195386576148531-0.940528429734181i,0.776266291013207+0.57665821365059i,-0.405589682874028-0.824478872852318i,-0.692630292,-0.418262744,-0.587638967
7008.962445,23243.86942,0.0343873136793318-0.955632761357462i,-0.0819067801604958-0.956179012656507i,0.964604222733498+0.0562920076202824i,-0.916572544358832+0.0453923748568601i,-0.70244314,-0.433071057,-0.564821295
1773.05241,22552.14499,-0.709780054789727-0.639833359341959i,-0.351909870499828-0.891921454830101i,0.836731012736774-0.481782666932651i,-0.320902493548697+0.858231733704941i,-0.71180384,-0.44764265,-0.541249805
3160.594298,22333.86344,-0.945272796504185+0.133018038743333i,-0.592114414158263-0.753199902636409i,0.434857283969811-0.861307740571685i,0.659898821952183+0.633217480208809i,-0.720710933,-0.461915559,-0.516923367
6270.225011,22351.84464,-0.50420059126082+0.808965720037908i,-0.782503486826233-0.551648994133213i,-0.10910371684197-0.958070028961167i,0.840803846468602-0.354876747642155i,-0.729161102,-0.475828051,-0.491845254
6412.648275,22511.84116,0.29614497535938+0.904301381608382i,-0.907210133744134-0.304129208302687i,-0.616755013648215-0.740547180471737i,0.00635874055214666-0.910457714252812i,-0.737163022,-0.489280961,-0.466041651
4172.931898,22293.29768,0.881751596149776+0.352529056183525i,-0.955834604742036-0.0313309297002888i,-0.921642078197162-0.28022205993615i,-0.831763625309885-0.364585568349348i,-0.744701202,-0.50224281,-0.439513685
3996.450345,21496.39922,0.834262850549394-0.449029296547021i,-0.924311998017689+0.243938992283053i,-0.923787225442118+0.271814092116016i,-0.661583408157995+0.618552405322062i,-0.751765014,-0.51466426,-0.412274257
8024.522069,21857.58069,0.19036595415948-0.925680743586069i,-0.815258317367277+0.498648435670313i,-0.622493846149461+0.734340818154077i,0.306391827247251+0.84959461068178i,-0.758346386,-0.52648772,-0.384345469
12607.54071,22647.28623,-0.586387511844669-0.737905578570694i,-0.637765053180745+0.711454306885699i,-0.116661970138457+0.955411107014791i,0.898963564625244+0.0534224697536287i,-0.764436677,-0.537657445,-0.355754183
12769.75867,22292.95821,-0.939601409591631-0.0234272047017242i,-0.406657118382539+0.864482740320759i,0.427542160548331+0.86224770303077i,0.402348015771306-0.80274236181726i,-0.770017971,-0.548158242,-0.326488691
8895.764712,22147.29401,-0.618850443029751+0.70382114247984i,-0.141272800936978+0.944828043857661i,0.831142960672692+0.485267485539475i,-0.577563217826989-0.684138037685037i,-0.775083474,-0.557918502,-0.296601674
7551.484125,22280.00309,0.142727770391887+0.923515955839266i,0.1361361480838+0.945645252937917i,0.961146360761784-0.0517118259543725i,-0.853888070766084+0.260693743455388i,-0.779628593,-0.566868436,-0.266156785
